person_id,member_id,subscriber_id,gender,race,birth_date,death_date,death_flag,enrollment_start_date,enrollment_end_date,payer,payer_type,plan,original_reason_entitlement_code,dual_status_code,medicare_status_code,first_name,last_name,social_security_number,subscriber_relation,address,city,state,zip_code,phone,data_source,file_name,ingest_datetime
P011,466643,420015,M,Asian,2009-05-08,,0,2053-09-01,2064-06-01,Walker Ltd,Medicaid,Basic Plan,5,9,4,Benjamin,Ruiz,198-52-5379,Spouse,45868 Crosby Crescent Suite 294,North Candacestad,PA,95992,698-169-3406x08835,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P012,989208,230679,M,Other,1979-05-08,,0,2011-10-30,2024-12-03,"Mccullough, Hunter and Estrada",Medicare,Silver Plan,1,2,6,Chad,Beck,335-52-4845,Child,66299 Sullivan Village,West Justinchester,FL,76520,+1-577-738-7214x895,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P013,308802,254511,M,White,1956-05-10,,0,1979-07-17,1985-12-10,Williams Group,Self-Pay,Basic Plan,9,3,3,Loretta,Potter,626-99-1194,Other,9367 Sanchez Shoal Apt. 163,Port Susan,NC,68390,083.172.7889x579,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P014,266889,879779,F,Black,2005-06-18,,0,2038-04-06,2045-03-16,Cole-Walton,Medicaid,Platinum Plan,7,6,8,Jennifer,Wagner,861-82-4544,Other,347 Jennifer Freeway Suite 558,East Edwardfurt,NY,91458,(316)658-7603,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P015,998348,902784,M,Other,2006-09-05,2053-06-01,1,2046-11-27,2052-12-10,"James, Smith and Bell",Medicaid,Basic Plan,2,1,4,Robert,Stein,772-50-6866,Self,3467 Paul Skyway,Ramseymouth,CA,17229,+1-806-990-1627x204,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P016,391773,888539,F,Hispanic,1975-10-19,,0,2023-06-06,2026-01-06,King-Miller,Medicaid,Gold Plan,8,4,8,Mark,Gibson,020-96-8838,Other,3100 James Brooks,East David,FL,88248,937-452-9912,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P017,493537,515922,F,Hispanic,1971-03-02,,0,1997-08-12,2000-10-14,"Gonzalez, Vargas and Rivas",Self-Pay,Silver Plan,1,2,1,Daniel,Johnson,249-14-4942,Other,058 Stanley Cliff,Alexanderchester,PA,64752,657-262-8498,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P018,993085,357420,F,Black,2002-09-18,,0,2030-07-03,2037-01-28,Ramirez Group,Self-Pay,Gold Plan,5,8,4,Timothy,Graham,250-97-7614,Self,0752 Lewis Union Suite 549,Angelahaven,GA,25543,367-837-7701,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P019,596249,680358,M,White,1970-01-09,2052-09-14,1,2037-05-20,2040-07-30,"Cooper, Barajas and Pierce",Medicaid,Gold Plan,7,8,8,Jeffrey,Holt,361-90-7435,Spouse,4313 Wilson Plain Apt. 337,Jennyhaven,OH,78723,134-352-4082x4008,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
P020,112861,701949,F,Asian,1969-11-18,,0,1993-02-16,1997-10-26,Harrison-Alexander,Self-Pay,Platinum Plan,7,9,8,Heidi,Martinez,189-07-4137,Spouse,16719 Edward Valleys Suite 131,Obrienbury,FL,68995,(774)964-9909x1334,Synthetic,eligibility_file.csv,2025-02-11 03:40:27
